# Nmap 7.70 scan initiated Fri Aug 16 16:41:42 2019 as: nmap -sP -vv -o seg.log 4.4.*.100-101
Nmap scan report for 4.4.0.100 [host down, received no-response]
Nmap scan report for 4.4.0.101 [host down, received no-response]
Nmap scan report for 4.4.1.100 [host down, received no-response]
Nmap scan report for 4.4.1.101 [host down, received no-response]
Nmap scan report for 4.4.2.100 [host down, received no-response]
Nmap scan report for 4.4.2.101 [host down, received no-response]
Nmap scan report for 4.4.3.100 [host down, received no-response]
Nmap scan report for 4.4.3.101 [host down, received no-response]
Nmap scan report for 4.4.4.100 [host down, received no-response]
Nmap scan report for 4.4.4.101 [host down, received no-response]
Nmap scan report for 4.4.5.100 [host down, received no-response]
Nmap scan report for 4.4.5.101 [host down, received no-response]
Nmap scan report for 4.4.6.100 [host down, received no-response]
Nmap scan report for 4.4.6.101 [host down, received no-response]
Nmap scan report for 4.4.7.100 [host down, received no-response]
Nmap scan report for 4.4.7.101 [host down, received no-response]
Nmap scan report for 4.4.8.100 [host down, received no-response]
Nmap scan report for 4.4.8.101 [host down, received no-response]
Nmap scan report for 4.4.9.100 [host down, received no-response]
Nmap scan report for 4.4.9.101 [host down, received no-response]
Nmap scan report for 4.4.10.100 [host down, received no-response]
Nmap scan report for 4.4.10.101 [host down, received no-response]
Nmap scan report for 4.4.11.100 [host down, received no-response]
Nmap scan report for 4.4.11.101 [host down, received no-response]
Nmap scan report for 4.4.12.100 [host down, received no-response]
Nmap scan report for 4.4.12.101 [host down, received no-response]
Nmap scan report for 4.4.13.100 [host down, received no-response]
Nmap scan report for 4.4.13.101 [host down, received no-response]
Nmap scan report for 4.4.14.100 [host down, received no-response]
Nmap scan report for 4.4.14.101 [host down, received no-response]
Nmap scan report for 4.4.15.100 [host down, received no-response]
Nmap scan report for 4.4.15.101 [host down, received no-response]
Nmap scan report for 4.4.16.100 [host down, received no-response]
Nmap scan report for 4.4.16.101 [host down, received no-response]
Nmap scan report for 4.4.17.100 [host down, received no-response]
Nmap scan report for 4.4.17.101 [host down, received no-response]
Nmap scan report for 4.4.18.100 [host down, received no-response]
Nmap scan report for 4.4.18.101 [host down, received no-response]
Nmap scan report for 4.4.19.100 [host down, received no-response]
Nmap scan report for 4.4.19.101 [host down, received no-response]
Nmap scan report for 4.4.20.100 [host down, received no-response]
Nmap scan report for 4.4.20.101 [host down, received no-response]
Nmap scan report for 4.4.21.100 [host down, received no-response]
Nmap scan report for 4.4.21.101 [host down, received no-response]
Nmap scan report for 4.4.22.100 [host down, received no-response]
Nmap scan report for 4.4.22.101 [host down, received no-response]
Nmap scan report for 4.4.23.100 [host down, received no-response]
Nmap scan report for 4.4.23.101 [host down, received no-response]
Nmap scan report for 4.4.24.100 [host down, received no-response]
Nmap scan report for 4.4.24.101 [host down, received no-response]
Nmap scan report for 4.4.25.100 [host down, received no-response]
Nmap scan report for 4.4.25.101 [host down, received no-response]
Nmap scan report for 4.4.26.100 [host down, received no-response]
Nmap scan report for 4.4.26.101 [host down, received no-response]
Nmap scan report for 4.4.27.100 [host down, received no-response]
Nmap scan report for 4.4.27.101 [host down, received no-response]
Nmap scan report for 4.4.28.100 [host down, received no-response]
Nmap scan report for 4.4.28.101 [host down, received no-response]
Nmap scan report for 4.4.29.100 [host down, received no-response]
Nmap scan report for 4.4.29.101 [host down, received no-response]
Nmap scan report for 4.4.30.100 [host down, received no-response]
Nmap scan report for 4.4.30.101 [host down, received no-response]
Nmap scan report for 4.4.31.100 [host down, received no-response]
Nmap scan report for 4.4.31.101 [host down, received no-response]
Nmap scan report for 4.4.32.100 [host down, received no-response]
Nmap scan report for 4.4.32.101 [host down, received no-response]
Nmap scan report for 4.4.33.100 [host down, received no-response]
Nmap scan report for 4.4.33.101 [host down, received no-response]
Nmap scan report for 4.4.34.100 [host down, received no-response]
Nmap scan report for 4.4.34.101 [host down, received no-response]
Nmap scan report for 4.4.35.100 [host down, received no-response]
Nmap scan report for 4.4.35.101 [host down, received no-response]
Nmap scan report for 4.4.36.100 [host down, received no-response]
Nmap scan report for 4.4.36.101 [host down, received no-response]
Nmap scan report for 4.4.37.100 [host down, received no-response]
Nmap scan report for 4.4.37.101 [host down, received no-response]
Nmap scan report for 4.4.38.100 [host down, received no-response]
Nmap scan report for 4.4.38.101 [host down, received no-response]
Nmap scan report for 4.4.39.100 [host down, received no-response]
Nmap scan report for 4.4.39.101 [host down, received no-response]
Nmap scan report for 4.4.40.100 [host down, received no-response]
Nmap scan report for 4.4.40.101 [host down, received no-response]
Nmap scan report for 4.4.41.100 [host down, received no-response]
Nmap scan report for 4.4.41.101 [host down, received no-response]
Nmap scan report for 4.4.42.100 [host down, received no-response]
Nmap scan report for 4.4.42.101 [host down, received no-response]
Nmap scan report for 4.4.43.100 [host down, received no-response]
Nmap scan report for 4.4.43.101 [host down, received no-response]
Nmap scan report for 4.4.44.100 [host down, received no-response]
Nmap scan report for 4.4.44.101 [host down, received no-response]
Nmap scan report for 4.4.45.100 [host down, received no-response]
Nmap scan report for 4.4.45.101 [host down, received no-response]
Nmap scan report for 4.4.46.100 [host down, received no-response]
Nmap scan report for 4.4.46.101 [host down, received no-response]
Nmap scan report for 4.4.47.100 [host down, received no-response]
Nmap scan report for 4.4.47.101 [host down, received no-response]
Nmap scan report for 4.4.48.100 [host down, received no-response]
Nmap scan report for 4.4.48.101 [host down, received no-response]
Nmap scan report for 4.4.49.100 [host down, received no-response]
Nmap scan report for 4.4.49.101 [host down, received no-response]
Nmap scan report for 4.4.50.100 [host down, received no-response]
Nmap scan report for 4.4.50.101 [host down, received no-response]
Nmap scan report for 4.4.51.100 [host down, received no-response]
Nmap scan report for 4.4.51.101 [host down, received no-response]
Nmap scan report for 4.4.52.100 [host down, received no-response]
Nmap scan report for 4.4.52.101 [host down, received no-response]
Nmap scan report for 4.4.53.100 [host down, received no-response]
Nmap scan report for 4.4.53.101 [host down, received no-response]
Nmap scan report for 4.4.54.100 [host down, received no-response]
Nmap scan report for 4.4.54.101 [host down, received no-response]
Nmap scan report for 4.4.55.100 [host down, received no-response]
Nmap scan report for 4.4.55.101 [host down, received no-response]
Nmap scan report for 4.4.56.100 [host down, received no-response]
Nmap scan report for 4.4.56.101 [host down, received no-response]
